12013	33	90
9798	13	382
10695	17	215
5900	34	90
7923	43	141
5292	17	215
6342	13	382
9453	48	382
12553	25	62
5145	14	160
11341	48	32
6785	166	90
8917	198	160
6929	43	141
5649	48	32
2937	48	32
2535	150	382
7316	25	62
7879	48	32
12051	85	434
3371	17	862
11972	17	862
957	48	32
5354	34	90
6046	60	90
10618	17	862
3587	100	160
8381	85	434
6690	85	434
2134	17	862
10190	43	384
8096	31	4
11160	25	62
4831	100	160
8661	17	215
8317	43	141
4836	150	32
8557	25	62
8847	25	62
1155	17	862
11700	85	434
8929	85	434
4046	14	160
650	48	32
5969	48	32
3644	28	32
11090	48	32
4575	25	62
6913	48	382
10596	85	434
11154	17	818
13361	43	384
2215	48	32
257	25	62
4656	48	32
10226	28	382
11113	43	141
12717	17	818
3446	25	62
8327	11	23
3553	25	62
10920	51	160
5177	17	818
9530	48	32
8191	43	141
10546	34	90
942	100	160
250	14	160
6253	28	382
11717	232	160
11041	13	32
2422	48	32
4377	43	141
6161	107	4
1925	43	141
3365	51	160
4128	48	32
7769	17	818
1831	17	862
3676	48	32
2137	25	62
14244	43	141
5939	13	382
3861	14	160
8060	60	90
718	43	141
2477	43	141
6719	11	23
10268	185	32
2672	100	160
5532	25	62
1716	25	62
8353	85	434
5801	14	160
2729	28	32
7180	33	90
2209	25	62
2505	34	90
10328	25	62
2488	85	434
11261	28	382
6412	48	32
527	60	90
203	48	32
4111	34	90
4388	100	160
3476	85	434
900	13	32
11750	25	62
1216	43	141
11616	17	215
10015	133	32
8822	85	434
1075	34	90
7415	25	62
2506	43	141
412	48	32
1362	17	862
9190	48	32
7242	85	434
5534	107	4
6485	43	141
4369	85	434
11659	14	160
6941	43	141
3715	17	862
3262	43	141
3806	221	160
10042	43	384
3961	25	62
5954	85	434
808	17	215
2073	17	862
4771	48	382
9122	17	215
3003	13	32
8923	17	818
1157	17	862
7870	17	862
13909	43	141
9765	14	160
6325	34	90
1569	85	434
5361	43	141
4410	43	141
248	17	215
4570	11	23
2127	60	90
9550	25	62
3880	17	862
2569	48	32
8122	43	141
666	13	32
11343	17	862
1886	60	90
9583	25	62
3350	25	62
11039	48	382
6749	11	23
9364	11	23
5603	85	434
11931	28	32
5236	31	4
8318	43	384
9246	17	862
10894	17	862
926	31	4
8003	31	4
3876	48	32
11472	85	434
8245	48	32
11079	14	160
9188	150	382
6811	85	434
5174	17	862
1174	60	90
643	11	23
4010	85	434
773	219	90
5038	17	818
2189	43	384
6280	48	32
2886	14	160
8878	43	141
13679	17	862
5551	14	160
5664	85	434
3974	43	141
12912	85	434
157	31	4
9675	48	32
848	17	862
12333	43	384
1434	43	384
7976	43	141
557	60	90
1638	43	141
1838	14	160
3665	85	434
6102	43	141
5913	17	862
9214	85	434
6682	17	215
11928	25	62
1239	43	141
12701	25	62
11179	17	862
12163	25	62
4577	14	160
6485	85	434
6766	48	32
6065	14	160
2552	48	32
6176	25	62
7365	34	90
5145	34	90
10341	85	434
3041	48	32
12283	85	434
55	14	160
2235	17	862
8270	14	160
5760	31	4
7475	14	160
7741	17	862
9283	11	23
575	11	23
13638	33	90
2513	34	90
4766	11	23
13174	43	384
7686	14	160
1157	17	818
2494	85	434
14213	85	434
3868	85	434
3174	11	23
1079	31	4
5373	48	32
251	48	32
7583	14	160
1548	43	141
2669	43	384
11421	25	62
3196	31	4
5260	34	90
7612	43	384
9995	232	160
257	14	160
11584	16	32
3937	34	90
700	85	434
1872	17	818
6960	48	32
4210	85	434
10747	17	215
1025	17	862
6892	85	434
12288	43	141
7908	157	382
11947	43	384
6078	17	818
12835	17	215
7327	17	215
8893	31	4
1635	25	62
12830	48	32
10386	185	32
2945	25	62
3631	43	141
2311	17	818
10517	25	62
10268	51	160
2680	14	160
13818	85	434
1522	17	862
2133	25	62
1599	11	23
9197	31	4
6250	25	62
8607	43	384
407	25	62
7591	25	62
5522	48	382
