6651	13	637
411	13	68
44	118	774
4085	13	449
5090	85	1665
74	29	68
6901	85	1665
9143	31	1211
2779	85	1665
3566	13	68
629	13	449
5127	13	1934
3042	13	637
10308	17	60
2318	13	68
7719	193	1934
2212	13	68
11068	13	449
11068	13	68
6250	13	449
6652	13	68
1414	17	2123
2807	13	202
6924	13	1934
8453	85	1665
5200	13	202
5439	13	1934
10341	17	60
2262	82	1771
2255	17	2006
1580	13	637
11764	17	2006
6325	31	1211
1276	118	774
496	13	1934
2719	17	2123
2190	28	637
3775	13	68
7929	17	2006
4047	85	1665
2241	13	68
11697	13	92
10815	17	2123
6774	118	774
7024	26	1960
5606	17	60
2876	17	60
9659	13	202
1836	31	470
3401	17	2006
2835	13	202
5152	13	1934
4296	31	470
7767	17	60
3526	31	470
2621	17	60
4380	85	1665
3864	31	1211
971	13	92
3955	118	774
1275	13	637
4802	28	637
9747	13	202
4995	85	1665
5888	17	2123
7443	31	657
4093	82	1771
500	31	1211
9177	118	774
155	13	68
4432	17	60
4179	13	449
2952	13	1934
785	13	1934
2039	118	774
55	13	449
6404	13	202
2903	13	68
2835	13	449
893	31	470
7413	13	449
5069	17	60
1258	13	202
11790	82	1771
496	13	119
14507	118	774
4448	31	470
3815	17	2123
3266	13	68
6508	31	1211
3418	31	1211
6144	13	637
9462	31	470
7600	31	470
11923	118	774
2977	13	202
9620	13	92
6265	13	92
909	13	92
5087	118	774
1703	13	1934
5704	26	1960
4898	17	2123
4120	85	1665
465	13	637
4341	13	449
5372	28	637
7423	48	637
13415	118	774
4822	17	2006
6828	29	637
5439	13	119
8276	31	470
5954	17	2006
10235	118	774
6472	28	637
3266	13	92
3196	13	92
7453	82	1771
1259	31	657
7454	118	774
226	18	1771
3240	13	92
606	28	637
67	13	119
2802	31	470
7349	13	637
5335	31	657
1743	13	92
8196	13	119
5519	48	119
5361	17	2123
4043	29	1934
2440	13	202
2507	157	202
5001	18	1771
4252	82	1771
10967	107	470
8512	17	2006
4915	31	657
3060	13	202
5240	31	1211
2006	228	2006
10208	85	1665
6006	13	202
3574	13	92
8930	17	2006
12387	17	60
10316	193	202
3144	17	60
2594	48	119
4163	13	1934
12884	85	1665
10401	26	1960
14512	118	774
3865	31	1211
449	118	774
8196	13	202
10772	66	119
4834	17	2123
3435	118	774
1536	85	1665
8721	13	119
3342	13	202
7150	152	449
8589	107	470
14272	118	774
4174	31	657
1395	82	1771
