4979	35	4489	1
1330	89	872	1
2783	210	3202	1
8918	34	90	1
1060	7	8779	2
1888	14	160	1
10390	176	9889	6
2311	43	141	1
5618	17	2221	1
4219	80	4791	1
6997	6	3093	3
4518	35	3514	1
2895	54	1445	1
6652	13	293	3
8326	93	857	1
9906	60	90	1
11068	13	2410	2
848	19	2031	65
4782	109	1336	3
4029	217	3433	1
3169	22	716	4598
4749	76	11172	3
12725	71	13476	84
4071	25	62	1
8667	23	5427	1
2801	24	976	13
232	10	6589	1
2004	14	160	1
7600	11	23	1
1347	19	2399	6
1157	24	592	1
6238	13	75	1
9535	43	384	1
4709	112	7940	1
4029	217	4081	1
210	42	137	1
902	17	8072	11
13994	25	62	1
10433	17	2006	1
1125	14	160	1
2862	20	5293	106
5901	146	5901	1
11320	85	434	1
3177	14	160	1
1759	182	3202	1
4044	42	6992	6
2103	162	6604	1
944	29	8139	1
2281	26	1098	1
1682	69	1829	1
7838	172	2759	1
7265	22	2083	566
2724	116	3541	10
826	7	4499	131
13722	95	7766	6
1800	118	774	1
8873	26	64	1
3019	13	119	1
10937	43	141	1
6628	101	160	17
10500	43	384	1
1715	20	3925	1
852	13	119	1
3222	211	9357	1
5247	11	23	1
1523	17	215	2
3597	159	3169	1
2216	8	673	4
3820	19	3250	2
2176	106	1087	476
4088	28	7553	86
5420	86	1283	1
3624	7	1900	36
4403	22	12297	279
484	89	10289	1
6543	95	224	3
4413	63	7191	1
8378	21	6092	40
7093	11	23	1
4055	50	3847	229
5633	20	7918	5
6803	20	10455	2
11657	15	11317	1
1565	47	3652	64
3555	25	62	1
7349	13	1022	25
2807	31	4959	35
1410	157	2394	4
2124	26	1936	1
2302	77	4944	979
879	71	8158	814
1121	7	8454	1
2809	97	2529	1
4047	6	2125	19
10519	160	9596	1
11014	17	215	1
1893	19	1126	10
8610	230	40	11
3450	31	466	5
14125	52	5658	3
3228	47	5632	1
10593	56	10593	1
6464	19	608	1
7280	25	62	1
3342	13	202	1
387	14	160	1
2754	101	6590	4
864	6	840	1071
5780	22	11586	631
7408	174	3380	1
1759	7	2229	5
7211	14	160	1
6566	167	1768	1
1176	38	9506	4
1872	19	2658	6
3008	13	75	11
6472	74	5390	4
2502	26	183	2
12429	1	7256	141
7956	150	420	3
1232	66	1327	1
2045	29	2600	5
8401	13	3590	30
5074	13	1163	1
1302	73	302	1
8515	32	3233	875
10525	172	8634	1
3548	26	64	1
641	6	932	336
5961	103	4319	1
1546	42	10455	9
1148	47	3601	195
59	41	212	1
7706	17	2424	1
6475	17	215	1
10242	37	1043	28
2078	17	131	1
3874	66	592	5
9600	17	6287	2
7296	61	926	11
980	95	521	1
7695	19	929	1
1566	89	1977	1
7969	7	3059	2
4346	13	331	1
5364	101	1954	3
699	97	7442	239
2304	17	1415	1
1250	7	4655	447
6081	17	4504	1
4246	13	119	1
1295	26	1936	3
5318	19	739	2
577	31	5003	3
3809	33	90	1
706	89	8362	1
1335	31	6943	1
8113	32	7881	58
11596	66	9780	1087
7625	6	6144	45
6469	19	578	2
5857	31	4	1
5809	6	4726	600
7306	50	12965	70
2699	34	90	1
257	25	62	1
3683	101	11875	4
4512	27	1659	84
495	13	3485	6
200	20	1375	1
2634	13	158	1
9927	48	32	1
4198	110	494	1
8692	101	1800	1
12314	94	12807	280
3430	12	832	1074
9489	50	621	258
4709	89	8006	1
7014	121	7382	67
8178	47	8719	1
2053	6	9360	925
4868	85	434	1
9993	19	4151	1
11556	13	1682	1
1338	66	5445	8
7679	52	3117	3
8096	31	4	1
3320	6	6652	518
313	10	2070	1
4777	19	9988	11
3015	137	2463	1
6016	34	90	1
6036	19	887	23
8729	56	8729	1
112	7	8293	30
2951	17	60	1
2686	138	10388	5
7669	172	1978	1
4034	85	434	1
3939	2	9590	132
3278	38	315	1
6102	43	141	1
181	69	6613	7
8244	124	5655	7
1201	13	9534	9
236	63	756	1
699	31	1211	1
6749	11	23	1
3285	22	8279	983
7160	20	2565	2
6164	19	1724	1
958	74	8870	1
12158	17	2006	8
9651	229	8243	1
8613	96	3083	1
13818	17	215	2
1742	134	1271	1
1753	181	8029	11
3172	82	13863	36
2742	25	62	1
5312	27	4990	1
9364	14	160	1
2815	20	3490	1
5656	17	5529	1
4543	64	4170	1
3600	8	1357	2
1605	84	6810	2
7065	17	243	4
5567	31	1600	1
299	157	2068	49
3132	89	10214	38
4979	35	3796	1
2710	13	27	2
3441	100	160	1
5240	147	382	1
5832	27	7250	1196
9766	13	1080	1
579	27	8209	4
1683	31	1211	3
1527	154	2438	1
1177	89	8073	1
4534	176	5727	5
8402	85	434	1
4833	25	62	1
12815	17	5529	1
6876	17	1002	3
1835	222	12931	2
293	73	1914	1
65	27	5523	176
1012	27	5222	1
1060	7	9853	875
7422	30	2941	2
2422	8	176	1
12911	43	141	1
236	63	12202	1
4459	10	1559	2
10785	10	2202	1
4133	6	1892	325
8227	23	10247	4
1014	37	6489	1
377	7	2625	1
2754	22	6393	3
10148	25	62	1
7453	6	118	43
2025	38	7614	11
2534	101	9982	22
8180	109	13015	78
11881	25	62	1
11403	26	3911	6
5020	115	747	2
10765	10	1171	1
467	7	7630	2
9943	106	580	30
3844	19	711	3
12258	95	2940	6
7633	35	1234	1
706	89	8790	1
3726	75	1446	19
3775	13	3485	20
11469	154	2438	1
4763	172	1978	1
9671	126	2197	94
13433	85	434	1
8049	116	2887	82
1477	85	434	1
3003	13	1276	19
1081	103	9505	1
9747	13	834	3
9066	71	4848	1
471	35	794	1
6442	13	32	1
11556	13	331	1
6420	25	62	1
3529	46	14272	5
5286	48	32	1
902	85	434	1
6022	43	141	1
1022	0	1	1
831	20	4432	13
5917	56	5917	1
9178	72	2722	1
4141	38	228	1
7093	31	136	1
5292	17	393	1
9143	31	1211	1
14500	46	152	1
10050	217	4081	2
3721	13	816	1
5291	13	474	15
6363	26	1936	1
55	13	637	1
9402	66	3760	101
4520	154	2438	1
8791	23	209	1
4630	26	64	1
549	85	434	1
1177	89	11114	1
5227	6	2333	9
8115	107	7405	5
7957	27	9422	103
5808	25	62	1
2837	66	249	1
1259	13	202	1
5237	63	4334	1
1052	21	8160	35
6727	50	10596	76
8517	52	12933	5457
999	7	2495	1
13346	95	224	5
593	22	11106	1940
484	89	8425	1
552	26	1098	1
1438	68	340	1
3106	59	643	483
5066	35	794	1
801	48	32	1
1837	154	5054	1
6952	43	141	1
1566	89	2889	1
5893	26	64	1
6905	71	4166	858
4995	85	1665	2
9766	13	1304	1
11381	48	32	1
9533	6	10172	74
783	6	40	1622
12410	26	1881	1
7224	6	8376	2
1239	102	761	649
9789	101	10134	15
10008	20	7884	352
6446	25	62	1
13551	17	862	1
4597	6	6736	3
1832	6	9203	29
543	7	8420	1700
4348	27	6763	1
7392	26	64	1
11888	76	7772	17
8685	19	1071	1
10440	24	12275	118
7055	17	393	1
1794	2	5971	1
6404	31	163	1
872	101	6790	40
7821	121	13664	374
3373	15	13948	2
6453	29	1164	2
10329	137	5757	1
1925	21	2103	205
1533	8	6005	2
5069	17	60	7
2083	6	1693	94
1741	76	3121	2
5561	133	32	1
2401	89	3933	24
2215	6	8848	467
4377	41	1300	5
269	31	4	1
4529	85	434	1
1718	157	4300	1
180	28	834	11
4770	71	4587	39
10309	6	5821	327
307	13	1682	1
484	89	12512	1
2401	89	9406	262
5317	151	287	1
9465	19	5224	1
2090	29	3028	1
2488	85	434	1
1756	92	2662	1
2366	19	9887	32
1992	14	160	1
7408	171	1914	1
4547	85	434	1
1263	220	6386	1
2025	38	7488	9
4868	66	2879	76
10744	31	1314	19
579	27	8518	82
326	85	434	1
9871	6	5864	473
2792	15	4939	84
14174	76	2926	232
371	10	6820	1
5227	19	2031	2
3533	163	5812	20
1654	7	6031	258
8973	121	13735	82
2647	19	7494	27
4945	17	871	1
1260	0	4494	1
9764	140	5537	2618
3872	1	1013	1411
10432	17	215	1
4377	43	141	1
4776	17	10971	7
2632	19	2857	14
2393	13	27	1
4686	47	4324	1
4998	84	4362	456
3967	17	818	1
10815	17	2123	5
8149	48	637	1
1177	189	6412	1
11259	15	11222	16
2848	10	5491	1
7847	103	5651	1
9190	48	32	1
1853	98	3175	1
4766	11	23	1
3201	10	10804	1
1921	47	10690	874
3344	106	249	2
2414	26	1881	1
6987	20	8567	18
10628	1	4141	318
9643	19	955	1
876	17	11521	6
906	31	657	1
1183	122	1532	886
5493	17	131	1
10322	17	3482	1
565	66	954	3
2183	154	2438	1
10665	11	23	1
2065	28	382	1
2889	101	1467	1
12921	33	90	1
5587	47	6256	1
2327	3	1568	2
3800	19	406	1
8595	6	2407	38
382	15	10102	1
2968	13	1682	1
6865	86	7059	11
9639	27	801	269
8663	25	62	1
529	20	2094	2
9945	43	141	1
4753	71	11779	1
2876	45	11236	331
3989	157	419	5
2555	115	6114	1
220	131	3653	1
12927	24	4843	12
3260	27	8846	7
441	32	4125	1
595	71	4495	4
32	15	4287	1
641	19	2610	1
11613	5	117	1
2652	28	1080	1
11198	48	1124	2
2700	9	2912	21
6983	26	1098	1
2250	2	2838	1
6473	70	2121	37
1830	29	11589	79
1201	13	2046	1
7273	19	5943	2
6460	14	5334	1
4050	7	173	62
10878	41	1756	7
2092	17	967	2
10292	43	141	1
3731	20	6372	3
10656	98	8986	1
1546	92	9424	1
5958	13	2091	1
12718	71	6866	136
11086	135	382	1
5941	115	6114	1
9409	101	594	7
6138	47	1025	3
11059	20	431	76
2475	13	1302	1
9151	13	637	1
6580	7	440	1
10457	19	578	14
5300	19	112	3
1570	43	141	1
52	17	862	1
3841	82	8332	10
879	71	2060	1309
6580	10	6315	1
2256	22	5950	1
9598	101	1493	6
2003	10	6327	1
6211	230	5595	9
4348	27	4991	2
11383	76	130	1
10190	43	384	1
3277	172	2759	1
6265	26	990	1
7200	84	168	451
11586	39	10705	259
1177	89	12091	2
1566	89	7939	1
5001	0	5789	1
3458	10	3203	1
2845	61	6899	6
12987	132	13840	1
10115	19	5460	68
4910	29	181	1
